name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Yogurt, low fat milk, flavors other than fruit",73,5.09,9.82,9.82,0,1.51,0.97,0.413,0.043,6,14,0.8,1.2,178,0.08,227,68
"Yogurt, nonfat milk, flavors other than fruit",66,5.56,10.44,10.44,0,0.18,0.113,0.048,0.005,2,2,0.9,1.2,193,0.09,247,75
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",95,8.64,9.54,9.54,0,2.5,1.465,0.846,0.203,5,110,0,0.9,100,0.04,123,40
"Yogurt, Greek, whole milk, flavors other than fruit",111,8.47,9.35,9.35,0,4.44,2.674,1.404,0.273,10,125,0,0.9,98,0.04,121,39
"Yogurt, Greek, low fat milk, flavors other than fruit",95,8.64,9.54,9.54,0,2.5,1.465,0.846,0.203,5,110,0,0.9,100,0.04,123,40
"Yogurt, Greek, nonfat milk, flavors other than fruit",78,8.64,10.37,9.54,0.5,0.18,0.133,0.039,0.009,3,0,0,0.9,99,0.04,123,34
"Yogurt, Greek, with oats",160,8.9,22.38,12.07,1.9,4.29,1.478,1.629,0.915,4,88,0.1,0.7,96,0.64,184,53
"Yogurt, liquid",72,3.71,11.81,9.78,0.1,1.09,0.701,0.302,0.031,4,10,1.4,1.2,131,0.1,171,53
"Chipotle dip, yogurt based",189,7.93,3.33,2.97,0,15.99,3.219,3.638,8.716,16,74,3.4,0,92,0.09,119,636
"Dill dip, yogurt based",191,8.16,3.76,2.99,0.3,16.03,3.232,3.645,8.742,16,74,1.9,0,103,0.29,141,641
"Onion dip, yogurt based",159,6.82,4.07,3.38,0.2,12.88,2.713,2.928,6.865,14,66,1.1,0.2,93,0.08,126,507
"Ranch dip, yogurt based",195,8.48,4.13,3.41,0.3,16.09,3.267,3.661,8.744,17,74,1.9,0,114,0.29,154,646
"Spinach dip, yogurt based",158,7.02,3.6,3.04,0.3,12.94,2.721,2.927,6.892,14,112,0.7,0.2,103,0.21,136,514
Tzatziki dip,92,5.35,3.95,2.92,0.2,6.31,1.838,3.724,0.641,7,3,2,0,64,0.14,139,307
"Vegetable dip, yogurt based",191,8.16,3.76,2.99,0.3,16.03,3.232,3.645,8.742,16,74,1.9,0,103,0.29,141,641
"Yogurt parfait, low fat, with fruit",84,3.36,15.86,11.68,1.1,1.01,0.525,0.307,0.122,3,30,14.3,1.2,105,0.49,189,49
"Frozen yogurt, NFS",127,3,21.6,19.92,0,3.6,2.326,0.986,0.1,13,49,0.7,0.1,100,0.46,156,63
"Frozen yogurt, vanilla",127,3,21.6,19.92,0,3.6,2.326,0.986,0.1,13,49,0.7,0.1,100,0.46,156,63
"Frozen yogurt, chocolate",131,3,21.6,19.24,2.3,3.6,2.272,0.961,0.102,13,39,0,0.1,100,0.46,234,63
