name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
Cereal (Kellogg's Raisin Bran Crunch),354,6.59,84.9,35.2,8,1.79,0.4,0.3,0.69,0,283,2,1.9,35,8.5,246,358
Cereal (Post Raisin Bran),324,7.6,78.9,32.9,13.7,1.6,0.296,0.349,0.796,0,380,0.9,1.7,44,18.3,525,382
Cereal (General Mills Raisin Nut Bran),368,8.19,80,28.5,12.2,5.3,1,2,2,0,0,0.3,0,41,9.19,357,440
Cereal (General Mills Reese's Puffs),413,6.8,75.6,35.3,4.7,11.1,2.1,4.7,3.7,0,495,20.7,3.4,345,15.5,244,555
Cereal (General Mills Chex Rice),375,6.4,85.09,8,2,1.89,0.5,0.6,0.69,0,556,22.2,3.7,370,33.29,188,809
"Cereal, rice flakes",383,6.69,86.22,12.12,0.7,1.26,0.36,0.243,0.293,0,1136,64.5,7.6,5,32.73,106,545
Cereal (Kellogg's Rice Krispies),381,6.75,85.05,9.87,0.4,2.05,0.458,0.593,0.626,0,1136,63.3,6.2,5,30.42,125,527
Cereal (Kellogg's Rice Krispies Treats Cereal),395,4.3,85.59,29.6,0.4,4.19,0.89,1.2,0.2,1,500,20,3.3,10,6,51,567
"Cereal, puffed rice",383,7.01,87.78,0,1.4,0.9,0.325,0.18,0.345,0,0,0,0,9,2.86,116,5
Cereal (Kellogg's Smart Start Strong),371,7.5,86.8,27.79,5.4,1.5,0.3,0.1,0.5,0,688,30,2,29,36,182,398
Cereal (Kellogg's Smorz),405,3.34,87.2,43.7,3.8,3.5,0.961,2.079,0.231,0,1324,52.9,0,70,15.87,176,534
Cereal (Kellogg's Special K),377,17.79,73.4,12.69,1.4,1.79,0.4,0.3,0.4,0,500,68,3.3,23,28,53,667
Cereal (Kellogg's Special K Blueberry),363,6.9,86.3,26.7,8.6,1.5,0.4,0.1,0.5,0,745,70,3.3,18,27,204,481
Cereal (Kellogg's Special K Chocolatey Delight),381,6.5,81.2,29.9,10.6,7.3,6.3,0.2,0.6,0,725,68,3.2,18,26.1,272,582
Cereal (Kellogg's Special K Red Berries),358,6.3,87.09,29.7,8.5,1.29,0.3,0.3,0.5,0,499,68,3.3,24,26.1,229,619
Cereal (Kellogg's Special K Fruit & Yogurt),367,7.1,85.3,32.1,8.1,2.9,1.4,0.1,0.3,0,702,66,3.3,27,25.3,188,452
Cereal (Kellogg's Special K Vanilla Almond),366,7.8,83,29.2,9.6,4,0.4,2,1.1,0,749,70,3.3,34,27,254,559
Cereal (Kellogg's Special K Cinnamon Pecan),375,7.5,81.2,24,10.3,6,0.7,2.8,2.1,0,750,70,3.3,30,27,267,650
Cereal (Kellogg's Corn Pops),387,4.8,89.7,31.3,8.4,1.3,0.5,0.2,0.5,0,467,20,3.3,7,6,113,357
"Cereal, frosted corn flakes",389,4.25,90.2,39.27,1.2,0.87,0.107,0.171,0.435,0,454,19.4,3.2,3,11.6,82,451
Cereal (Kellogg's Frosted Flakes),369,3.96,89.2,35.43,2.2,1.68,0.451,0.265,0.669,0,450,24.2,4.7,3,26.7,76,468
Cereal (Post Golden Crisp),380,5.5,90.1,53.6,5,1.7,0.2,0.6,0.6,0,832,0,7.4,15,6.7,176,95
"Cereal, toasted oat",395,10.71,75.96,3.57,10.7,5.36,0.926,1.786,1.786,0,1071,21.4,7.1,357,32.14,607,571
Cereal (General Mills Trix),384,4.9,86.19,32,3.9,3.79,0.5,1.79,1.39,0,669,18.8,3.1,313,16.89,162,500
Cereal (Uncle Sam),346,15.98,65.78,1.56,20.3,11.6,0.946,1.419,5.987,0,0,2.4,0,95,4.03,446,206
Cereal (General Mills Chex Wheat),345,9.8,82.2,10.3,12.2,1.8,0.4,0.3,1,0,317,12.8,2.1,213,30.6,369,570
"Wheat germ, plain",382,29.1,49.6,7.8,15.1,10.7,1.83,1.5,6.62,0,5,6,0,45,9.09,947,4
"Cereal, puffed wheat, plain",366,16.26,76.39,1.37,9.4,2.15,0.413,0.313,1.073,0,0,0,0,24,4.41,364,5
"Cereal, puffed wheat, sweetened",380,5.7,88.5,56.2,5,2.2,0.5,0.4,0.5,0,556,22,3.7,14,1.5,183,142
Cereal (Post Shredded Wheat),344,11.58,80.18,0.92,12.4,2.06,0.405,0.295,1.26,0,0,0,0,57,2.56,384,2
Cereal (General Mills Wheaties),353,8.3,83.3,15.2,10.1,2.3,0.5,0.4,1.2,0,554,22.2,3.7,74,33.3,328,732
"Wheat bran, unprocessed",216,15.55,64.51,0.41,42.8,4.25,0.63,0.637,2.212,0,0,0,0,73,10.57,1182,2
"Oats, raw",379,13.15,67.7,0.99,10.1,6.52,1.11,1.98,2.3,0,0,0,0,52,4.25,362,6
"Oat bran, uncooked",246,17.3,66.22,1.45,15.4,7.03,1.328,2.376,2.766,0,0,0,0,58,5.41,566,4
"Barley cereal, baby food, dry, instant",376,13.2,69.4,13.2,6.6,6.6,0.894,1.45,3.859,0,0,0,7.1,643,48.21,467,33
"Mixed cereal, baby food, dry, instant",399,6.66,78.21,26.66,6.7,6.66,0.769,1.206,1.697,0,0,58.3,0,800,30,467,33
"Oatmeal cereal, baby food, dry, instant",394,10.99,73.48,11.67,7.3,6.36,0.841,1.564,1.748,0,0,0,12.7,1160,64.1,549,21
"Rice cereal, baby food, dry, instant",390,6.65,83.14,4.85,1.3,2.19,0.234,0.42,0.784,0,0,2.4,8.5,860,53.01,281,32
"Rice cereal with apples, baby food, dry, instant",396,6.7,86.89,3.22,3,2.4,0.503,0.615,0.92,0,0,0,0,850,37,410,16
"Rice cereal with mixed fruits, baby food, dry, instant",389,6.6,88.5,1.35,2.6,0.9,0.185,0.252,0.231,0,0,250,0,38,9,414,2
"Rice cereal with bananas, baby food, dry, instant",404,8.7,79.9,16.7,1,4.2,0.978,0.986,1.503,0,1,2,0,691,47.5,769,0
"Brown rice cereal, baby food, dry, instant",406,8.7,85.98,0.72,6.5,3,0.61,1.085,1.072,0,0,0,0,55,47.6,386,12
"Mixed cereal with bananas, baby food, dry, instant",391,10.7,77.1,6.68,7.8,4.6,0.846,1.223,1.734,0,6,3.6,0,696,47.5,668,0
"Multigrain, whole grain cereal, baby food, dry, instant",407,6.67,80.06,26.67,6.7,6.67,1.058,1.291,2.596,0,0,58.3,0,800,30,467,33
"Oatmeal cereal with bananas, baby food, dry, instant",399,6.67,78.07,26.66,5.2,6.67,1.267,1.429,2.186,0,0,58.3,0,800,45,600,33
"Oatmeal cereal with fruit, baby food, dry, instant, toddler",402,10.5,74.1,11.09,7.8,7.05,1.572,3.008,2.29,0,4,2.7,0,286,14.3,346,0
"Whole wheat cereal with apples, baby food, dry, instant",402,6.6,83.2,26.66,6.7,4.8,0.639,1.277,1.866,0,0,58.3,0,600,45,500,66
"Cereal, baby food, jarred, NFS",76,0.89,15.82,8.85,0.9,0.89,0.126,0.216,0.253,0,0,13.9,0,6,7.5,97,4
"Rice cereal, baby food, jarred, NFS",80,1.2,17.1,2.24,1,0.4,0.114,0.104,0.102,0,1,31.6,0,17,6.73,28,4
"Mixed cereal with applesauce and bananas, baby food, jarred",83,0.71,18.58,11.1,1,0.51,0.081,0.122,0.172,0,0,15.9,0,91,6.81,111,5
"Oatmeal with applesauce and bananas, baby food, jarred",76,0.89,15.82,8.85,0.9,0.89,0.126,0.216,0.253,0,0,13.9,0,6,7.5,97,4
"Rice cereal with applesauce and bananas, baby food, jarred",80,1.2,17.1,2.24,1,0.4,0.114,0.104,0.102,0,1,31.6,0,17,6.73,28,4
"Rice cereal with mixed fruit, baby food, jarred",80,1.2,17.1,2.24,1,0.4,0.114,0.104,0.102,0,1,31.6,0,17,6.73,28,4
"Gerber Graduates Finger Snacks Cereal, baby food",421,6.4,76.68,28,2.3,9.9,1.646,3.13,3.638,0,0,10,0,400,22.5,114,0
"Burrito, taco, or quesadilla with egg",234,10.52,19.15,1.88,1.4,12.52,4.299,4.216,3.045,172,88,0.2,0.9,136,2.21,134,484
"Burrito, taco, or quesadilla with egg and potato",240,9.26,20.7,1.67,1.6,13.24,4.019,4.791,3.462,144,74,0.9,0.8,117,1.95,169,497
"Burrito, taco, or quesadilla with egg and breakfast meat",246,11.6,16.76,1.77,1.2,14.51,4.91,5.205,3.324,160,79,0.1,1,119,2.07,162,528
"Burrito, taco, or quesadilla with egg and breakfast meat, from fast food",277,11.1,22.97,2.57,1.2,15.63,6.404,5.073,3.366,137,79,0.5,0.8,132,2.28,150,744
"Burrito, taco, or quesadilla with egg, potato, and breakfast meat",250,10.33,18.46,1.6,1.4,14.87,4.577,5.574,3.654,138,68,0.8,0.9,105,1.87,189,534
"Burrito, taco, or quesadilla with egg, potato, and breakfast meat, from fast food",242,11.15,17.74,2.18,1.3,13.94,5.521,4.779,2.165,141,77,4.4,0.6,136,2.05,201,594
"Burrito, taco, or quesadilla with egg, beans, and breakfast meat",218,10.41,16.18,1.55,1.7,12.26,4.14,4.377,2.824,131,65,1.1,0.8,103,1.96,190,500
Burrito with meat,242,13.02,14.45,1.69,1.2,14.48,7.065,4.966,0.965,41,47,1.6,0.2,206,1.83,179,490
Burrito with meat and beans,216,11.06,16.85,1.68,2,11.56,5.867,3.65,0.979,29,44,2.1,0.1,202,1.78,199,514
"Burrito with meat and beans, from fast food",180,7.03,23.37,2.1,3.7,6.8,2.733,1.803,1.575,12,52,1.3,0.1,90,1.82,204,451
Burrito with meat and sour cream,236,11.51,13.05,1.94,1.1,15.18,7.505,4.913,0.941,43,58,1.5,0.1,191,1.58,171,425
"Burrito with meat, beans, and sour cream",214,9.86,15.16,1.92,1.7,12.64,6.46,3.781,0.954,33,55,2,0.1,188,1.54,189,447
"Burrito with meat, beans, and sour cream, from fast food",209,8.56,26.78,1.7,3.6,7.86,3.191,2.013,1.985,16,30,0.4,0.1,114,2.22,255,513
"Burrito with meat, beans, and rice",211,10.5,17.6,1.57,1.9,10.82,5.485,3.415,0.919,27,41,2,0.1,189,1.74,188,480
"Burrito with meat, beans, rice, and sour cream",209,9.45,15.9,1.81,1.6,11.93,6.094,3.569,0.904,31,52,1.9,0.1,178,1.52,180,421
Burrito with chicken,242,16.89,16.59,1.81,1.3,12.02,6.168,3.551,1.234,56,55,0.3,0.2,241,1.6,178,574
Burrito with chicken and beans,214,12.59,18,1.73,2.1,10.23,5.372,2.917,1.098,34,48,1.6,0.1,217,1.67,200,553
Burrito with chicken and sour cream,235,14.5,14.6,2.08,1.1,13.23,6.826,3.724,1.162,56,67,0.4,0.1,218,1.34,169,484
"Burrito with chicken, beans, and sour cream",212,11.08,16.01,1.98,1.8,11.59,6.081,3.167,1.054,38,59,1.5,0.1,200,1.43,189,475
"Burrito with chicken, beans, and rice",208,11.88,18.72,1.61,2,9.52,4.995,2.716,1.026,32,44,1.5,0.1,202,1.64,189,514
"Burrito with chicken, beans, rice, and sour cream",207,10.57,16.75,1.86,1.7,10.9,5.713,2.978,0.994,36,55,1.4,0.1,188,1.42,180,446
"Burrito with beans and rice, meatless",188,8.8,19.68,1.56,2.6,8.29,4.449,2.272,0.934,16,39,2.5,0.1,186,1.69,206,502
"Burrito with beans, meatless",192,9.22,19.1,1.66,2.7,8.83,4.748,2.421,0.992,17,41,2.6,0.1,198,1.73,218,536
"Burrito with beans, meatless, from fast food",205,7.35,31.23,1.73,4.2,6.05,2.309,1.258,2.229,5,25,0.4,0.1,124,2.37,261,563
"Burrito with beans, rice, and sour cream, meatless",189,7.99,17.76,1.8,2.2,9.69,5.173,2.567,0.917,22,50,2.3,0.1,175,1.49,196,442
"Chilaquiles, tortilla casserole with salsa, cheese, and egg",286,8.63,24.15,2.42,2.9,17.41,6.208,5.821,3.899,78,72,6.5,0.4,159,1.08,236,365
"Chilaquiles, tortilla casserole with salsa and cheese, no egg",298,7.71,28.34,2.78,3.5,17.29,6.518,5.569,3.655,19,54,7.7,0.1,177,0.93,252,380
"Enchilada, no sauce",142,9.15,10.59,2.05,2.4,7.24,2.624,2.674,1.291,26,26,9.1,0.1,87,1.34,217,261
"Enchilada with meat and beans, red-chile or enchilada sauce",124,6.57,12.17,1.99,2.8,5.86,2.079,2.069,1.251,15,24,9.3,0.1,85,1.17,233,271
"Enchilada with meat and beans, green-chile or enchilada sauce",147,6.93,13.67,1.98,2.6,7.56,2.403,2.725,1.864,16,19,13,0.1,77,1.08,222,222
"Enchilada with meat, red-chile or enchilada sauce",142,9.15,10.59,2.05,2.4,7.24,2.624,2.674,1.291,26,26,9.1,0.1,87,1.34,217,261
"Enchilada with meat, green-chile or enchilada sauce",167,9.73,12.11,2.04,2.1,9.18,3.016,3.431,1.96,28,21,13,0.1,79,1.26,203,207
"Enchilada with chicken and beans, red-chile or enchilada sauce",117,6.22,12.16,1.99,2.8,5.25,1.761,1.802,1.296,16,24,9.3,0,85,0.9,234,267
"Enchilada with chicken and beans, green-chile or enchilada sauce",139,6.56,13.66,1.98,2.6,6.9,2.062,2.439,1.911,17,20,13,0,77,0.8,223,217
"Enchilada with chicken, red-chile or enchilada sauce",125,8.4,10.58,2.05,2.4,5.91,1.937,2.097,1.388,28,27,9.1,0,87,0.78,220,252
"Enchilada with chicken, green-chile or enchilada sauce",149,8.93,12.09,2.04,2.1,7.75,2.277,2.811,2.063,30,23,13,0,79,0.65,207,197
"Enchilada with beans, meatless, red-chile or enchilada sauce",109,4.34,13.53,1.94,3.2,4.68,1.609,1.548,1.216,5,22,9.6,0,82,1.01,246,279
"Enchilada with beans, green-chile or enchilada sauce",129,4.54,15,1.92,3.1,6.17,1.879,2.122,1.781,5,18,13,0,75,0.92,237,234
"Enchilada, just cheese, meatless, no beans, red-chile or enchilada sauce",161,7.27,11.15,2.18,2.4,10.21,4.897,2.976,1.415,22,70,9.3,0.1,209,0.72,184,295
"Enchilada, just cheese, meatless, no beans, green-chile or enchilada sauce",189,7.73,12.75,2.17,2.2,12.44,5.473,3.779,2.113,24,68,13.4,0.2,210,0.59,168,242
Taco or tostada with meat,247,10.47,19.23,2.27,2.7,14.42,5.189,5.015,2.474,30,45,2.9,0,101,1.42,272,536
"Taco or tostada with meat, from fast food",226,8.86,19.85,0.9,3.9,12.7,4.384,4.411,3.042,28,20,0.4,0.1,89,1.19,209,397
Taco or tostada with meat and sour cream,243,9.42,17.33,2.48,2.3,15.38,6.01,5.027,2.26,34,57,2.6,0,103,1.24,254,469
Soft taco with meat,222,10.69,20.38,2.96,2.1,10.81,4.065,3.543,1.795,26,39,2.5,0,118,2.15,233,658
"Soft taco with meat, from fast food",206,9.25,20.23,1.57,2.9,9.75,4.155,3.243,1.578,25,19,0.1,0.1,123,1.67,161,560
Soft taco with meat and sour cream,221,9.73,18.54,3.06,1.9,12.1,4.937,3.732,1.685,31,51,2.4,0,118,1.9,222,582
"Soft taco with meat and sour cream, from fast food",200,8.73,19.04,1.45,2.6,9.83,4.377,3.23,1.471,26,25,0.2,0.1,125,1.52,166,517
Soft taco with chicken,222,12.52,21.24,2.32,2,9.69,3.412,2.864,2.128,38,42,1.1,0,127,1.82,195,648
"Soft taco with chicken, from fast food",189,13.3,19.69,1.3,1.2,6.35,2.559,1.621,1.607,29,25,0.2,0.1,122,1.59,217,613
Soft taco with chicken and sour cream,218,11.03,18.79,2.48,1.7,11.12,4.405,3.119,1.932,41,54,1.1,0,123,1.56,185,557
Taco or tostada with chicken,255,12.75,20.39,1.45,2.6,13.9,4.684,4.529,3.011,44,49,1.3,0.1,111,0.94,237,516
Taco or tostada with chicken and sour cream,246,11.01,17.73,1.78,2.2,14.82,5.605,4.54,2.638,47,62,1.2,0,109,0.8,218,434
Taco or tostada with fish,229,10.09,20.39,1.47,2.6,12.04,4.208,3.704,2.768,26,47,1.7,0.2,109,0.78,238,447
Soft taco with fish,200,10.24,21.23,2.33,2,8.12,3.011,2.168,1.925,23,40,1.4,0.2,125,1.67,196,589
Soft taco with beans,156,6.29,21.33,1.83,3.1,5.12,2.192,1.201,0.974,6,22,3.1,0,98,1.79,240,507
Soft taco with beans and sour cream,160,5.88,19.55,2,2.8,6.64,3.039,1.563,0.955,11,33,2.9,0,98,1.61,227,456
Soft taco with meat and beans,185,8.25,20.99,2.34,2.7,7.64,3.023,2.234,1.338,15,29,2.9,0,107,1.96,238,575
Soft taco with chicken and beans,182,8.82,21.29,2.03,2.6,6.98,2.69,1.878,1.444,19,30,2.3,0,110,1.8,221,564
"Soft taco with meat, beans, and sour cream",188,7.6,19.16,2.48,2.4,9.08,3.89,2.529,1.282,20,41,2.7,0,107,1.74,226,514
"Soft taco with chicken, beans, and sour cream",184,8.03,19.23,2.2,2.3,8.51,3.612,2.215,1.365,24,41,2.2,0,109,1.59,209,498
Taco or tostada with beans,170,5.74,20.79,1.21,3.7,7.36,2.887,2.102,1.421,6,24,3.5,0,84,1.22,272,405
Taco or tostada with beans and sour cream,174,5.36,18.9,1.47,3.2,8.77,3.737,2.394,1.348,12,36,3.2,0,86,1.08,255,361
Taco or tostada with meat and beans,204,7.82,20.2,1.68,3.2,10.46,3.9,3.378,1.885,16,33,3.3,0,92,1.31,273,464
"Taco or tostada with meat and beans, from fast food",214,8.51,19.28,0.87,3.9,11.73,4.043,4.065,2.815,25,18,0.9,0.1,84,1.21,219,395
Taco or tostada with chicken and beans,204,8.51,20.63,1.31,3.2,9.95,3.597,3.061,2.049,21,34,2.6,0,95,1.11,258,448
"Taco or tostada with meat, beans, and sour cream",205,7.16,18.27,1.92,2.8,11.7,4.75,3.561,1.754,22,45,3,0,94,1.15,255,409
"Taco or tostada with chicken, beans, and sour cream",203,7.67,18.42,1.6,2.8,11.25,4.502,3.273,1.876,26,47,2.4,0,95,0.96,240,391
Ground beef with tomato sauce and taco seasonings on a cornbread crust,194,9.57,20.49,7.02,2.6,8.12,2.709,3.829,0.7,38,30,4.6,0.2,53,1.61,215,542
"Mexican casserole made with ground beef, beans, tomato sauce, cheese, taco seasonings, and corn chips",234,13.3,17.44,1.13,3.1,12.67,4.041,4.243,2.823,33,31,1.8,0,100,1.9,308,328
"Mexican casserole made with ground beef, tomato sauce, cheese, taco seasonings, and corn chips",268,14.64,14.56,1.41,1.6,17.11,5.491,5.78,3.743,45,43,2,0.1,122,1.7,256,447
Taco or tostada salad with meat,178,7.49,16.4,1.8,2.9,9.34,2.893,3.662,1.795,15,30,3.1,0,85,1.9,223,328
Taco or tostada salad with chicken,166,7.86,16.21,1.78,2.8,8.04,2.29,3.073,1.839,19,31,3.1,0,83,1.67,221,322
"Taco or tostada salad, meatless",162,5.31,19.21,1.84,3.7,7.37,2.136,2.777,1.749,5,26,3.2,0,88,1.88,231,275
Taco or tostada salad with meat and sour cream,180,6.86,14.93,2,2.5,10.59,3.799,3.779,1.671,21,42,2.9,0,87,1.67,211,291
Taco or tostada salad with chicken and sour cream,170,7.19,14.78,1.98,2.5,9.44,3.261,3.261,1.71,24,42,2.8,0,85,1.47,209,286
"Taco or tostada salad, meatless with sour cream",166,4.95,17.37,2.04,3.3,8.89,3.148,3.006,1.629,11,38,2.9,0,90,1.66,218,244
Tamale with meat,215,8.63,14.8,0.4,1.2,13.69,4.946,5.994,1.837,40,2,0.6,0.3,52,0.54,128,462
Tamale with chicken,215,8.63,14.8,0.4,1.2,13.69,4.946,5.994,1.837,40,2,0.6,0.3,52,0.54,128,462
"Tamale, meatless, with sauce, Puerto Rican or Caribbean style",436,1.5,9.45,2.58,1.4,44.37,16.968,20.304,5.107,40,3,1.1,1.1,17,1.08,81,1116
"Tamale, plain, meatless, no sauce, Mexican style",186,3.48,26.68,7.42,3.2,7.21,2.629,2.437,1.548,17,2,0.2,0.4,24,0.53,186,277
Tamale casserole with meat,158,6.33,15.47,2.03,1.7,7.97,2.88,3.473,0.959,18,6,5.9,0.1,38,0.85,191,360
Nachos with cheese and sour cream,223,8.43,21.75,1.66,3.9,12,5.065,2.858,2.245,24,76,0.8,0.1,172,0.99,248,339
Nachos with cheese,343,4.32,34.91,2.17,3.2,21.5,2.173,14.02,5.04,3,5,1.1,0,63,0.75,362,313
Nachos with meat and cheese,236,13.52,17.8,1.05,3.3,12.51,4.91,3.897,1.934,37,52,0.6,0.1,141,1.47,274,385
Nachos with chicken and cheese,209,14.17,17.36,1.02,3.2,9.69,3.581,2.642,2.022,46,52,0.6,0.1,135,1.01,269,371
Nachos with chili,253,10.14,22.98,1.16,3,14.22,5.51,3.799,2.795,32,79,0.9,0.1,206,2.28,260,453
"Nachos with meat, cheese, and sour cream",211,5.96,20.09,1.5,3.4,12.31,2.917,6.337,2.305,16,46,0.1,0.1,56,0.92,290,324
"Nachos with chicken, cheese, and sour cream",208,13.11,16.2,1.24,2.9,10.56,4.176,2.819,1.911,47,58,0.6,0.1,132,0.92,256,340
"Gordita, sope, or chalupa with beans",186,6.03,23.62,1.66,3.4,7.7,2.32,2.365,2.244,5,18,2.6,0,93,1.67,226,434
"Gordita, sope, or chalupa with beans and sour cream",187,5.7,21.88,1.82,3.1,8.77,3.036,2.569,2.112,10,28,2.5,0,94,1.53,216,397
"Gordita, sope, or chalupa with meat and sour cream",247,9,21.93,2.7,2.5,14,4.686,4.664,3.02,26,43,2,0,110,1.78,213,496
"Gordita, sope, or chalupa with meat",250,9.71,23.84,2.58,2.7,13.14,3.938,4.615,3.263,22,32,2.1,0,110,1.97,222,549
"Gordita, sope, or chalupa with chicken and sour cream",242,9.83,21.99,2.15,2.3,13.08,4.146,4.151,3.269,33,44,0.9,0,112,1.46,178,460
"Gordita, sope, or chalupa with chicken",248,10.84,24.36,1.98,2.6,12.22,3.328,4.091,3.606,30,33,0.9,0,114,1.65,185,519
Chimichanga with meat,246,8.82,26.66,2.64,2.9,11.55,3.688,3.874,3.028,13,19,2.5,0,122,2.38,230,636
"Chimichanga, meatless",200,6.58,24.92,2.03,3.1,8.33,2.696,2.6,2.375,4,12,2.6,0,106,2.06,220,535
Chimichanga with chicken,256,9.74,28.28,2.48,3,11.56,3.549,3.766,3.323,17,20,2.1,0,130,2.35,224,653
Chimichanga with meat and sour cream,282,8.95,27.12,3.34,2.3,15.35,5.461,4.906,3.421,23,39,1.4,0,145,2.3,185,621
"Chimichanga, meatless, with sour cream",200,6.19,23.02,2.16,2.8,9.36,3.392,2.786,2.228,9,23,2.5,0,105,1.87,211,488
Chimichanga with chicken and sour cream,252,8.98,25.79,2.62,2.7,12.61,4.369,3.906,3.062,22,32,2,0,128,2.1,215,615
"Quesadilla, just cheese, meatless",345,12.74,32.48,2.56,2.3,18.02,8.306,4.341,2.664,32,102,2,0.2,321,2.38,110,680
"Quesadilla, just cheese, from fast food",347,13.4,29.74,2.4,2.1,19.23,9.076,4.607,2.592,37,118,3,0.2,347,2.17,108,669
Quesadilla with meat,328,14.49,29.02,2.29,2,16.82,7.704,4.191,2.416,37,92,1.8,0.2,288,2.38,137,649
Quesadilla with chicken,325,14.24,29,2.28,2,16.77,7.586,4.166,2.479,41,92,1.8,0.2,288,2.2,128,645
"Quesadilla with chicken, from fast food",294,15.05,24.04,1.88,1.7,15.25,6.154,3.765,4.094,37,72,0.1,0.2,269,1.77,183,745
Quesadilla with vegetables,308,11.42,29.37,2.67,2.2,15.98,7.36,3.843,2.372,28,99,7.4,0.2,286,2.18,127,603
Quesadilla with vegetables and meat,318,12.94,29.18,2.48,2.1,16.39,7.527,4.014,2.392,33,95,4.6,0.2,287,2.28,132,626
Quesadilla with vegetables and chicken,316,12.82,29.17,2.48,2.1,16.36,7.468,4.001,2.424,35,96,4.6,0.2,287,2.19,127,623
Taquito or flauta with cheese,270,10.52,33.09,0.73,4.6,11.37,5.582,2.538,1.354,27,86,0,0.2,252,0.94,156,212
Taquito or flauta with meat,287,9.4,33.46,1.66,2.8,12.79,2.621,5.127,4.187,11,35,0,0,97,2.67,174,456
Taquito or flauta with meat and cheese,287,9.4,33.46,1.66,2.8,12.79,2.621,5.127,4.187,11,35,0,0,97,2.67,174,456
Taquito or flauta with chicken,284,9.21,33.63,1.3,2.9,12.54,2.31,4.835,4.235,13,30,0,0.1,104,2.47,155,453
Taquito or flauta with chicken and cheese,284,9.21,33.63,1.3,2.9,12.54,2.31,4.835,4.235,13,30,0,0.1,104,2.47,155,453
Taquito or flauta with egg,268,10.61,27.02,2.33,2,12.77,4.927,3.61,2.67,114,82,0.1,0.6,178,2.45,128,576
Taquito or flauta with egg and breakfast meat,279,11.9,25.62,2.2,1.8,14.01,5.318,4.272,2.861,113,78,0.1,0.6,168,2.37,149,637
Fajita with chicken and vegetables,161,9.67,14.73,2.76,1.5,7.23,2.385,2.28,1.554,36,30,13.3,0,56,1.18,198,426
Fajita with meat and vegetables,165,10.36,14.73,2.76,1.5,7.09,2.555,2.181,1.367,27,27,13.3,0,57,1.48,223,351
Fajita with vegetables,161,5.44,15.84,3.43,1.8,8.71,3.909,2.462,1.442,15,58,22.2,0.1,129,1.16,187,401
"Pupusa, cheese-filled",256,11.72,22.39,1.2,2.9,13.25,6.479,3.411,1.555,32,89,0,1.2,325,0.56,120,400
"Pupusa, bean-filled",166,5.55,28.44,0.74,3,3.82,1.47,1.097,0.864,6,11,1.4,0,96,0.89,173,204
"Pupusa, meat-filled",232,11.51,23.02,1.45,2.6,10.43,3.166,3.964,2.205,29,10,0.1,0.7,49,1.01,255,426
"Pizza, cheese, from frozen, thin crust",263,11.91,28.8,3.71,3,11.07,5.698,3.028,1.695,21,72,0.1,0,228,2.14,201,471
"Pizza, cheese, from frozen, thick crust",260,12.37,32.91,5.09,2.5,8.78,3.825,2.198,1.381,16,69,1.9,0,177,1.77,175,556
"Pizza, cheese, from restaurant or fast food, NS as to type of crust",266,11.39,33.33,3.58,2.3,9.69,4.465,2.608,1.681,17,69,1.4,0,188,2.48,172,598
"Pizza, cheese, from restaurant or fast food, thin crust",302,12.85,31.2,3.61,2.5,13.95,6.224,3.507,3.044,28,72,3,0,288,1.71,199,742
"Pizza, cheese, from restaurant or fast food, medium crust",266,11.39,33.33,3.58,2.3,9.69,4.465,2.608,1.681,17,69,1.4,0,188,2.48,172,598
"Pizza, cheese, from restaurant or fast food, thick crust",271,10.81,33.17,3.34,2.2,10.54,4.226,2.595,2.752,17,69,1.2,0,179,2.48,169,597
"Pizza, cheese, stuffed crust",274,12.23,30,2.9,1.7,11.63,5.825,2.771,1.547,30,117,3.1,0,238,2.04,229,615
"Pizza, cheese, from school lunch, medium crust",250,13.67,29.7,6.07,3.4,8.59,4.179,2.124,0.92,16,52,0.2,0,206,2.58,326,421
"Pizza, cheese, from school lunch, thin crust",247,12.72,31.31,7.12,4,7.91,4,1.837,0.745,12,66,0,0,218,2.53,348,421
"Pizza, cheese, from school lunch, thick crust",254,14.62,28.08,5.02,2.9,9.27,4.358,2.411,1.095,19,38,0.4,0,193,2.63,303,421
"Pizza, extra cheese, thin crust",302,13.46,29.7,3.51,2.4,14.31,6.531,3.571,2.915,30,79,2.8,0,311,1.62,194,740
"Pizza, extra cheese, thick crust",272,11.41,31.83,3.27,2.1,11,4.576,2.691,2.658,19,75,1.1,0,203,2.37,167,602
"Pizza, cheese, with vegetables, from frozen, thin crust",240,9.24,26.51,3.62,2.1,10.81,3.756,3.732,1.682,12,59,5.1,0,159,2.04,154,393
"Pizza, cheese with vegetables, from frozen, thick crust",245,11.64,31.31,5.02,2.4,8.22,3.577,2.055,1.296,15,65,4,0,166,1.68,174,520
"Pizza, cheese, with vegetables, from restaurant or fast food, thin crust",265,11.22,28.02,3.66,2.3,12.03,5.36,3.021,2.632,24,63,7.3,0,250,1.52,194,639
"Pizza, cheese, with vegetables, from restaurant or fast food, medium crust",242,10.31,30.71,3.62,2.2,8.69,3.999,2.336,1.514,15,63,4.8,0,170,2.26,171,535
